Card Name;Cost;Type;Effect / Reminder Text;Power;Durability
Acid Rain;;Command;Destroy one target Command on the battlefield.;;
Ada's Rally Cry;;Command;Attach this Command to a Pilot you control. Play with the top card of your deck revealed. If it's a Mecha, you may play it.;;
Ada, The Ingenious;;Pilot;A Mecha piloted by Ada, The Ingenious can't be targeted by your opponents.;+0;+2
Admiral Grace;;Pilot;Piloted Mechas you control gain +1 power.;+0;+0
Anti-Mecha Battery;1;Mecha;Sacrifice this Mecha: Cancel one target Mecha. (When a player tries to plays a Mecha, you may immediately sacrifice this Mecha to prevent and discard it.);0;4
Attack Orders;;Command;One target Mecha you control can attack an extra time this turn.;;
Autonomous Cockpit;0;Mecha;(No abilities.);0;2
Auto-Repairer;3;Mecha;After this Mecha is attacked, if it survived, it gains 1 durability.;3;3
Balloon Army;;Command;When a Mecha you control is attacked, before damage, you may return it to your hand. If you do, place this Command on that Mecha's space as the new target of the attack. While this Command is on the battlefield, it becomes a 0/1 Mecha with a cost of 0.;;
Battlefield Salvage;;Command;Sacrifice a Mecha you control. If you do, draw cards equal to it's durability.;;
Bear's Rally Cry;;Command;Return up to two Pilots with different names from your graveyard to your hand.;;
Bear, The Unbreakable;;Pilot;When a Mecha piloted by Bear, The Unbreakable is destroyed, return that Mecha to your hand.;+0;+2
Bomber;2;Mecha;Flight (This unit can't be attacked except by units with Flight or Reach). This Mecha can't attack units with Flight.;3;2
Bot-a-pult;2;Mecha;Reach (This unit may attack units with Flight). Sacrifice an adjacent Mecha you control: this Mecha gains Range 3 this turn (This unit may attack any target within three spaces this turn).;2;2
Bugzapper;2;Mecha;Haste (this Mecha can move and attack the same turn it's played). Reach (This unit may attack units with Flight).;3;1
Camouflage;;Command;Attach this Command to one target Mecha you control in your entry zone, then choose a name of a Mecha on the battlefield. The target Mecha's name becomes the name of your choice as long as this Command is attached.;;
Cap Gun;1;Mecha;Pierce (This unit ignores Armour counters when attacking). Reach (This unit may attack units with Flight).;1;1
Challenger Tank;3;Mecha;Armour 1 (This unit enters the battlefield with one Armour counter. If it would take damage while it has any Armour counters, prevent that damage and remove an Armour counter). Pierce (This unit ignores Armour counters when attacking).;2;2
Chinashop Bull;2;Mecha;Haste (this Mecha can move and attack the same turn it's played). Armour 1 (This unit enters the battlefield with one Armour counter. If it would take damage while it has any Armour counters, prevent that damage and remove an Armour counter). This Mecha must move and attack each turn. If it can't, destroy it.;3;3
Clocktower;;Tower;All Non-Basic Towers lose all abilities, except this ability (Non-Basic towers no longer provide bandwidth).;;5
